date,open,high,low,close,volume
1/1/20 0:00,7195.24,7196.25,7175.47,7178.45,331.185522
1/1/20 0:30,7178.19,7185.44,7175.46,7177.02,180.629379
1/1/20 1:00,7176.47,7217,7175.71,7212.1,355.063574
1/1/20 1:30,7212.1,7230,7204.28,7216.27,527.989029
1/1/20 2:00,7215.52,7238.88,7211.41,7228.09,309.018157
1/1/20 2:30,7227.12,7244.87,7226.79,7242.85,346.138652
1/1/20 3:00,7242.66,7245,7220.1,7237.15,440.412268
1/1/20 3:30,7237.82,7244.33,7220,7225.01,343.312599
1/1/20 4:00,7225,7229.88,7215.03,7222.23,320.556252
1/1/20 4:30,7221.21,7230,7216.18,7217.27,147.256326
1/1/20 5:00,7217.26,7229.76,7216.65,7220.18,177.017548
1/1/20 5:30,7220.17,7228.16,7218.05,7224.21,167.653048
1/1/20 6:00,7224.24,7236.27,7222.87,7233.71,308.6352
1/1/20 6:30,7233.28,7233.89,7221.51,7225.62,312.831823
1/1/20 7:00,7225.88,7232.94,7223.32,7231.27,247.633599
1/1/20 7:30,7231.04,7232.86,7199.11,7209.83,379.711255
1/1/20 8:00,7209.83,7210,7186.71,7189.97,425.088625
1/1/20 8:30,7189.97,7202.74,7180,7200.64,490.457349
1/1/20 9:00,7200.29,7210.51,7190.02,7196.98,347.684039
1/1/20 9:30,7197.25,7204,7188,7188.77,288.702063
1/1/20 10:00,7189.07,7206.78,7185.2,7205.95,311.984043
1/1/20 10:30,7205.95,7210,7197.99,7202,225.778761
1/1/20 11:00,7202.01,7237.73,7200.32,7222.83,490.40887
1/1/20 11:30,7222.96,7234.57,7188.61,7197.2,586.550611
1/1/20 12:00,7197.2,7221.14,7196.15,7211.23,367.511543
1/1/20 12:30,7211.35,7233.33,7206.41,7225.59,501.242037
1/1/20 13:00,7225.84,7230.5,7212.88,7221.79,355.097766
1/1/20 13:30,7221.93,7231.89,7216,7221.2,257.083136
1/1/20 14:00,7221.17,7233.23,7208.17,7231.37,264.683631
1/1/20 14:30,7231.32,7234.97,7216.51,7221.43,353.030554
1/1/20 15:00,7221.6,7232.59,7218.29,7228.13,432.51688
1/1/20 15:30,7228.13,7255,7218.46,7234.19,961.371912
1/1/20 16:00,7234.2,7238.47,7214,7218.68,505.838527
1/1/20 16:30,7218.61,7246.42,7216.77,7245.37,376.094253
1/1/20 17:00,7244.34,7249.99,7224.92,7244.73,781.346533
1/1/20 17:30,7244.76,7244.97,7232.87,7236.83,287.864034
1/1/20 18:00,7237.02,7246.72,7232.02,7236.28,337.988363
1/1/20 18:30,7235.22,7243.39,7225.17,7240.67,273.704944
1/1/20 19:00,7240.8,7241,7226,7227.72,231.868329
1/1/20 19:30,7227.83,7237.36,7225.49,7229.48,185.878308
1/1/20 20:00,7229.48,7241.56,7224.68,7239.4,217.281819
1/1/20 20:30,7239.08,7242.98,7229.7,7236.73,174.552355
1/1/20 21:00,7237.26,7242.75,7227.5,7229.84,173.983051
1/1/20 21:30,7230.27,7238.23,7227,7233.17,111.471027
1/1/20 22:00,7233.32,7234.49,7213,7215.78,295.158331
1/1/20 22:30,7215.38,7215.38,7186,7197.99,473.87208
1/1/20 23:00,7197.62,7199,7175.15,7195.4,566.522261
1/1/20 23:30,7194.84,7204.17,7182.39,7200.85,244.727899
2/1/20 0:00,7200.77,7200.99,7185.46,7198.69,190.198937
2/1/20 0:30,7198.68,7212.5,7197.76,7211.02,201.15344
2/1/20 1:00,7211.04,7211.16,7188.68,7190.18,192.486608
2/1/20 1:30,7190.19,7195.62,7185.11,7190.99,210.173531
2/1/20 2:00,7190.99,7191,7156.8,7166.04,1024.879353
2/1/20 2:30,7166,7171.71,7155.35,7169.02,362.498533
2/1/20 3:00,7169.04,7169.06,7153.33,7157.64,452.298965
2/1/20 3:30,7156.62,7161,7120.37,7129.61,1105.665465
2/1/20 4:00,7129.25,7161,7116.7,7145.01,836.186008
2/1/20 4:30,7145.01,7155.65,7130.46,7142.21,416.261869
2/1/20 5:00,7142.61,7152.05,7135.4,7140.62,306.178619
2/1/20 5:30,7141.61,7148.92,7126.93,7138.93,263.330371
2/1/20 6:00,7138.93,7149,7135,7146.58,332.699119
2/1/20 6:30,7145.96,7149.02,7121.43,7135.97,354.901546
2/1/20 7:00,7136.04,7140.63,7107,7111.58,888.538826
2/1/20 7:30,7111.56,7128.93,7105,7110.57,659.864997
2/1/20 8:00,7110.98,7145,7109.11,7130.92,597.053889
2/1/20 8:30,7131.5,7157.48,7130,7154.36,517.771239
2/1/20 9:00,7153.57,7154.16,7139.6,7145.17,411.964064
2/1/20 9:30,7145.35,7165,7135.36,7162.01,428.037264
2/1/20 10:00,7162.18,7178.36,7158.04,7177.14,821.349337
2/1/20 10:30,7177.24,7180,7153.33,7161.83,624.870647
2/1/20 11:00,7161.89,7168.67,7145,7149.51,415.335248
2/1/20 11:30,7149.58,7154.79,7139.03,7139.79,345.821322
2/1/20 12:00,7139.73,7163.4,7139.03,7157.41,484.657401
2/1/20 12:30,7157.08,7158.9,7142.49,7158.29,309.373096
2/1/20 13:00,7158.86,7163.35,7144.86,7146.73,309.454498
2/1/20 13:30,7147.46,7147.79,7107.43,7131.15,1256.826195
2/1/20 14:00,7131.18,7144.23,7122.34,7133.19,507.482952
2/1/20 14:30,7133.86,7157.1,7130.3,7135.59,448.817973
2/1/20 15:00,7135.59,7152,7123.46,7128,476.156136
2/1/20 15:30,7128,7136.21,7120,7130.98,386.273582
2/1/20 16:00,7130.37,7146.85,7109.8,7119.18,647.949764
2/1/20 16:30,7119.43,7125.96,7020,7052.32,2956.524388
2/1/20 17:00,7052.32,7053.09,6924.74,6950,4703.104683
2/1/20 17:30,6950.31,6984.06,6948.53,6970.04,1480.720857
2/1/20 18:00,6970.04,6976.56,6949.96,6965,830.55113
2/1/20 18:30,6965,6989.68,6959.41,6974.02,683.046809
2/1/20 19:00,6974.02,6989.82,6960,6976.24,844.780013
2/1/20 19:30,6975.93,6995,6969.17,6983.27,552.350589
2/1/20 20:00,6982.63,6983.22,6941.27,6949.02,664.972305
2/1/20 20:30,6949.93,6971.21,6946.02,6948.49,473.674029
2/1/20 21:00,6948.16,6968.88,6946.2,6967.39,315.57484
2/1/20 21:30,6967.7,6985,6961.22,6977.73,350.281875
2/1/20 22:00,6977.55,6978.24,6963.02,6966.71,351.910738
2/1/20 22:30,6966.71,6976.32,6963.02,6974.8,216.413291
2/1/20 23:00,6974.8,6974.8,6950,6962.34,437.692489
2/1/20 23:30,6962.47,6974.75,6957.66,6965.71,303.375102
3/1/20 0:00,6965.49,6966.47,6948,6955.63,369.355655
3/1/20 0:30,6955.65,6955.78,6912.88,6937,737.376388
3/1/20 1:00,6937,6946.07,6932.01,6936.99,439.349826
3/1/20 1:30,6935.72,6937.1,6878.19,6888.85,1963.231858
3/1/20 2:00,6888.26,6947.38,6871.04,6943.11,1702.497798
3/1/20 2:30,6942.29,6966.8,6942.29,6956.88,1167.495755
3/1/20 3:00,6957.66,6966.36,6946.51,6957.04,474.143434
3/1/20 3:30,6957.11,6958.37,6940,6952.04,772.446074
3/1/20 4:00,6952.04,7053.02,6948.64,7017.01,2241.651349
3/1/20 4:30,7017.18,7264.71,7004.11,7210.19,7319.246348
3/1/20 5:00,7210.2,7249,7168.48,7178,2539.253885
3/1/20 5:30,7178,7226.51,7174.7,7220.47,1036.51708
3/1/20 6:00,7220.49,7225,7193.08,7199.73,1268.87392
3/1/20 6:30,7199.65,7216.98,7190.14,7202.22,806.38524
3/1/20 7:00,7202.06,7231.57,7201,7223.46,1081.609754
3/1/20 7:30,7223.25,7232,7185.04,7203.21,1103.76713
3/1/20 8:00,7202.28,7231.93,7202.28,7216.74,771.580157
3/1/20 8:30,7216.8,7297.29,7216.68,7260.6,3204.954352
3/1/20 9:00,7260.64,7335.95,7256.56,7310.81,3304.751399
3/1/20 9:30,7310.86,7358.88,7298.08,7348.42,2164.279233
3/1/20 10:00,7349.3,7371.92,7323.01,7331.21,2156.81023
3/1/20 10:30,7331.28,7342.53,7281.3,7312.25,1767.652184
3/1/20 11:00,7312.26,7341.17,7306.61,7327.52,1061.703127
3/1/20 11:30,7328.15,7346,7313.33,7340.46,765.154339
3/1/20 12:00,7340.46,7350.19,7320.02,7338.26,872.971065
3/1/20 12:30,7338.43,7339.41,7303.14,7322.78,844.251555
3/1/20 13:00,7324.1,7331.02,7311.59,7330.15,602.212789
3/1/20 13:30,7329.54,7380,7320.58,7348.87,1304.256209
3/1/20 14:00,7348.36,7362.31,7229.3,7261.57,3405.245499
3/1/20 14:30,7260.11,7278.95,7250.01,7254.73,1178.39762
3/1/20 15:00,7255.49,7276.99,7252.48,7269,689.818058
3/1/20 15:30,7269.79,7322.44,7263.47,7320.18,1681.832734
3/1/20 16:00,7320.17,7405,7293.1,7368.55,4191.233404
3/1/20 16:30,7365.93,7395,7340.11,7386.03,1661.09353
3/1/20 17:00,7388.21,7403.2,7335.21,7361.56,1473.686703
3/1/20 17:30,7361.86,7381.78,7351.03,7355.26,727.53636
3/1/20 18:00,7355.23,7364,7330.32,7349.3,929.96224
3/1/20 18:30,7349.3,7369.47,7340.11,7342.96,492.569362
3/1/20 19:00,7342.95,7343.69,7280,7332.84,1355.021604
3/1/20 19:30,7332.86,7352.33,7319.88,7343.08,903.981274
3/1/20 20:00,7343.62,7361,7297.01,7323.06,992.742833
3/1/20 20:30,7323.06,7334.16,7311,7316.99,553.270349
3/1/20 21:00,7317.01,7335,7306.89,7325.69,538.9919
3/1/20 21:30,7325.69,7330.52,7262.68,7283,688.937245
3/1/20 22:00,7281.69,7309,7266.99,7269.78,624.634273
3/1/20 22:30,7271.06,7320.54,7260.01,7300.56,782.910992
3/1/20 23:00,7301.32,7346.08,7291.75,7335.94,982.984284
3/1/20 23:30,7336.47,7345,7313.18,7344.96,729.872054
4/1/20 0:00,7345,7350,7309.38,7316.39,713.335397
4/1/20 0:30,7316.97,7317,7289.98,7302.24,527.071087
4/1/20 1:00,7304.96,7308.69,7280.85,7303.03,545.463027
4/1/20 1:30,7302.18,7312.58,7297.82,7309.16,275.858212
4/1/20 2:00,7308.71,7314.7,7299.13,7306.66,350.04673
4/1/20 2:30,7304.92,7328.99,7296.18,7327.83,518.234985
4/1/20 3:00,7328.21,7339,7318.56,7320.86,407.96945
4/1/20 3:30,7320.87,7339.69,7319.41,7333.11,355.805947
4/1/20 4:00,7333.14,7333.2,7312.65,7326.84,340.193213
4/1/20 4:30,7326.69,7338.46,7323.25,7334.86,351.639992
4/1/20 5:00,7334.59,7350.08,7325,7346.09,443.112793
4/1/20 5:30,7346.85,7369.28,7340,7344.69,863.625992
4/1/20 6:00,7344.7,7367.88,7340.02,7358.09,581.589963
4/1/20 6:30,7358.4,7360.31,7340,7354.96,586.507073
4/1/20 7:00,7354.95,7363.63,7327.32,7328.62,727.527568
4/1/20 7:30,7329.12,7353,7328.24,7348.11,625.353297
4/1/20 8:00,7348.04,7348.45,7330,7346.86,654.124858
4/1/20 8:30,7346.8,7365,7345.06,7346.59,618.618367
4/1/20 9:00,7346.4,7349,7339.28,7347.84,472.177945
4/1/20 9:30,7347.73,7369.18,7344.28,7363.88,611.932688
4/1/20 10:00,7364.32,7369.63,7351.3,7362.04,754.268045
4/1/20 10:30,7361.38,7365.92,7304.36,7318.3,1053.283507
4/1/20 11:00,7318.15,7339.26,7302.1,7324.5,1085.442884
4/1/20 11:30,7324.5,7339.27,7320.1,7336.45,435.011771
4/1/20 12:00,7336.75,7339.58,7317.05,7325.84,389.675938
4/1/20 12:30,7326.74,7330.17,7305,7312.89,741.746729
4/1/20 13:00,7312.79,7326.49,7303.12,7311.96,618.693898
4/1/20 13:30,7311.88,7315.95,7291,7303.88,930.434428
4/1/20 14:00,7303.72,7317.55,7296.44,7311.8,486.948731
4/1/20 14:30,7311.4,7323.74,7308.22,7316.72,387.282962
4/1/20 15:00,7315.51,7332,7305,7327.11,458.678603
4/1/20 15:30,7327.12,7331.37,7314.42,7318.99,411.371997
4/1/20 16:00,7318.98,7323.26,7301.18,7308.94,435.713953
4/1/20 16:30,7308.81,7313,7297.91,7307.11,607.703989
4/1/20 17:00,7308,7327.61,7305,7326.66,482.15829
4/1/20 17:30,7326.66,7352,7325,7351.99,755.826006
4/1/20 18:00,7351.36,7356.58,7334.01,7351.31,690.488756
4/1/20 18:30,7351.31,7404,7272.21,7306.92,3419.535713
4/1/20 19:00,7306.6,7330,7283.01,7317.9,1047.179684
4/1/20 19:30,7317.9,7353.84,7313.45,7334.83,919.749717
4/1/20 20:00,7334.89,7352.64,7310.67,7337.49,843.210371
4/1/20 20:30,7337.51,7350,7332.31,7341.06,590.65369
4/1/20 21:00,7340.9,7353.35,7330.72,7350.22,348.943528
4/1/20 21:30,7350.82,7367.31,7340.33,7350.68,520.063986
4/1/20 22:00,7350.72,7356.21,7342.67,7344.2,249.594535
4/1/20 22:30,7345.05,7359.7,7343.2,7350.24,225.331574
4/1/20 23:00,7350.05,7354.72,7328.9,7335.9,251.773077
4/1/20 23:30,7335.88,7363,7329.98,7354.11,277.020031
5/1/20 0:00,7354.19,7393,7354.11,7380.73,869.017163
5/1/20 0:30,7380.74,7386.52,7359.31,7373.48,563.338277
5/1/20 1:00,7373.43,7472.14,7373.43,7460.6,3681.991849
5/1/20 1:30,7460.24,7481.87,7430,7459.18,2712.863891
5/1/20 2:00,7459.91,7482.87,7432.79,7448.93,1384.874513
5/1/20 2:30,7448.71,7462.15,7441.12,7443.79,653.141277
5/1/20 3:00,7443.92,7459.99,7439.33,7452.46,655.47122
5/1/20 3:30,7451.8,7478,7451.8,7475.99,790.751656
5/1/20 4:00,7476,7495,7444,7455.25,1384.282096
5/1/20 4:30,7455.23,7463.98,7445.78,7457.14,475.627371
5/1/20 5:00,7457.18,7461.35,7444,7453.42,392.797527
5/1/20 5:30,7453.31,7470,7452.16,7459.12,559.646791
5/1/20 6:00,7458.51,7481.25,7447.05,7455.5,709.190666
5/1/20 6:30,7455.48,7461.65,7437.4,7457.5,457.273623
5/1/20 7:00,7457.83,7459.26,7442,7445.94,478.863417
5/1/20 7:30,7445.98,7470.36,7445.98,7463.63,409.224437
5/1/20 8:00,7463.64,7472,7448,7451.06,443.675589
5/1/20 8:30,7450.5,7453.96,7410,7430.05,1152.202745
5/1/20 9:00,7430,7436.84,7400,7427.61,1323.415481
5/1/20 9:30,7427.53,7429.1,7400.67,7427.74,749.121614
5/1/20 10:00,7427.7,7432.28,7418.77,7421.38,400.152661
5/1/20 10:30,7421.35,7424.53,7403.21,7415.12,594.991549
5/1/20 11:00,7415.1,7431.19,7410,7429.4,501.66164
5/1/20 11:30,7429.49,7440,7421.15,7422.33,499.855979
5/1/20 12:00,7422.27,7460.46,7421.93,7442.98,642.043176
5/1/20 12:30,7443.59,7458.04,7435.81,7457.01,437.518087
5/1/20 13:00,7457.79,7458,7416.43,7420.81,842.909948
5/1/20 13:30,7420.56,7441.3,7415,7431.15,494.661136
5/1/20 14:00,7431.16,7444,7425,7441.23,387.95063
5/1/20 14:30,7441.28,7444.73,7431.01,7431.82,443.83693
5/1/20 15:00,7431.71,7466.54,7430.99,7458.54,644.508976
5/1/20 15:30,7458.54,7476.31,7441.37,7468.42,1195.479542
5/1/20 16:00,7467.91,7481.96,7455.48,7473.36,920.625547
5/1/20 16:30,7474.1,7484,7450,7461.38,843.736962
5/1/20 17:00,7461.26,7470,7445.15,7466.6,554.986769
5/1/20 17:30,7466.63,7470.76,7458.24,7464.65,349.289107
5/1/20 18:00,7464.62,7468.87,7439.37,7439.37,483.329409
5/1/20 18:30,7439.42,7446.76,7421.77,7438.72,743.430835
5/1/20 19:00,7439.02,7449.69,7427.1,7449,556.274076
5/1/20 19:30,7449.01,7449.01,7434.77,7444.14,396.101904
5/1/20 20:00,7444.71,7445,7428.34,7430.82,383.572477
5/1/20 20:30,7430.69,7439.98,7426,7431.6,304.198946
5/1/20 21:00,7431.01,7431.53,7406.55,7409.32,755.361056
5/1/20 21:30,7409.31,7409.92,7361.01,7368.52,1469.833302
5/1/20 22:00,7367.62,7385.65,7318,7337.89,1572.947818
5/1/20 22:30,7338.9,7363.55,7326.2,7355.73,676.638219
5/1/20 23:00,7355.73,7360.06,7321,7349.19,843.761746
5/1/20 23:30,7349.19,7363.35,7342.97,7358.75,544.655974
6/1/20 0:00,7357.64,7373.96,7346.76,7358.99,785.733575
6/1/20 0:30,7358.76,7384.72,7350.09,7378.75,573.134212
6/1/20 1:00,7378.97,7392.83,7368.55,7378.28,669.899644
6/1/20 1:30,7376.58,7426.82,7371.26,7423.5,960.327897
6/1/20 2:00,7423.06,7536,7421.64,7512.88,3647.548308
6/1/20 2:30,7513.11,7562,7490.66,7551.44,2171.708664
6/1/20 3:00,7551.47,7580,7486.85,7520.96,3896.708282
6/1/20 3:30,7521.15,7545.23,7517,7540.9,873.198074
6/1/20 4:00,7540.9,7554.61,7517.02,7518.8,952.088812
6/1/20 4:30,7518.79,7543.7,7516.06,7529.52,602.493649
6/1/20 5:00,7529.52,7541.55,7504.6,7513.26,656.531069
6/1/20 5:30,7513.21,7540.15,7496,7532.85,816.388861
6/1/20 6:00,7532.85,7537.53,7510.99,7518.01,501.467552
6/1/20 6:30,7518.02,7527.43,7512.93,7520,371.861818
6/1/20 7:00,7520,7527.27,7516.82,7520.1,406.617218
6/1/20 7:30,7520.23,7525.25,7505.57,7507.91,515.269176
6/1/20 8:00,7508.18,7535.44,7507.39,7525,705.700942
6/1/20 8:30,7525,7551.68,7520,7547.55,985.156856
6/1/20 9:00,7547.88,7550.49,7516.51,7530.1,1068.694905
6/1/20 9:30,7530.09,7553,7519.2,7550.78,1005.410971
